company_name,company_scale,company_category,count
建霖,1000-9999人,贸易/进出口,14
厦门卫星定位,100-499人,计算机服务,14
京北方,10000人以上,互联网金融,14
TPK,10000人以上,其他行业,14
南威软件,1000-9999人,计算机软件,14
物之联,20-99人,计算机软件,14
卫宁健康,1000-9999人,医疗健康,14
金山云,1000-9999人,互联网,14
今日头条,10000人以上,移动互联网,14
凤扬网络,20-99人,互联网,14
正航软件,100-499人,计算机软件,14
通达科技有限公司,10000人以上,原材料及加工/模具,14
软通动力,10000人以上,计算机软件,14
睿云联,100-499人,智能硬件,13
易联众智能,100-499人,互联网,13
高德地图,1000-9999人,互联网,13
GSEO,10000人以上,电子/半导体/集成电路,13
聚英教育,1000-9999人,培训机构,13
一品威客网,500-999人,互联网,13
帮邦行,500-999人,移动互联网,13
精合电气,100-499人,机械设备/机电/重工,13
北京博睿宏远,500-999人,计算机软件,13
蓝斯股份,100-499人,通信/网络设备,13
欧立通电子科技,100-499人,电子/半导体/集成电路,13
福信光电,100-499人,智能硬件,13
三六一度,1000-9999人,服装/纺织/皮革,13
阿里巴巴集团,10000人以上,互联网,13
天海欧康科技,100-499人,物流/仓储,13
易景软件,20-99人,计算机软件,13
凤凰创壹软件,100-499人,移动互联网,13
上海海鼎,500-999人,计算机软件,12
福建万商堂科技股...,20-99人,互联网,12
美亚中敏,100-499人,互联网,12
兴联智控,20-99人,智能硬件,12
亿林,100-499人,智能硬件,12
VSPN,500-999人,游戏,12
汉纳森,100-499人,计算机软件,12
咪狐科技,20-99人,互联网,12
信泰思,1000-9999人,计算机软件,12
中国电信云,1000-9999人,计算机软件,12
厦门本捷,20-99人,游戏,12
万国投资集团,1000-9999人,4S店/后市场,12
中乔体育股份有限公司,1000-9999人,批发/零售,12
庸博电气,20-99人,电子/半导体/集成电路,12
成功易厦门,500-999人,广告/公关/会展,12
铂爵旅拍,1000-9999人,互联网,12
元初食品,1000-9999人,生活服务,12
旭康农业科技,100-499人,农/林/牧/渔,12
友达光电,1000-9999人,电子/半导体/集成电路,12
Qkids久趣,500-999人,在线教育,12
天海图汇,100-499人,计算机软件,12
六角一袋,100-499人,互联网,12
厦门空格网络科技,20-99人,计算机软件,12
牧云数据,20-99人,数据服务,12
百威,10000人以上,食品/饮料/烟酒,12
钜衍网络,20-99人,计算机软件,11
尚妃美容,500-999人,互联网,11
艾迪泰克,20-99人,智能硬件,11
厦门趣店科技有限公司,1000-9999人,互联网,11
矽恩,100-499人,电子/半导体/集成电路,11
厦门邑通软件,100-499人,企业服务,11
厦门智合诚,100-499人,计算机软件,11
建发股份,1000-9999人,贸易/进出口,11
拓宝科技,100-499人,电子/半导体/集成电路,11
一码当先,100-499人,移动互联网,11
舒特科技,20-99人,移动互联网,11
厦门信达信息科技...,1000-9999人,电子/半导体/集成电路,11
玉晶光电,1000-9999人,电子/半导体/集成电路,11
四信智慧电力,500-999人,互联网,11
顺磊集团,500-999人,建材,11
厦门锐传科技有限公司,100-499人,机械设备/机电/重工,11
神州信息,10000人以上,计算机软件,11
巨龙信息,500-999人,计算机软件,11
创世智云,20-99人,互联网,11
厦门天锐科技,100-499人,信息安全,11
奥谱天成,100-499人,仪器仪表/工业自动化,11
某大型互联网公司,500-999人,互联网,11
厦门美亚亿安信息科技,20-99人,计算机服务,11
硕橙（厦门）科技...,20-99人,企业服务,11
宝太生物,1000-9999人,医疗设备/器械,11
厦门松下,1000-9999人,电子/半导体/集成电路,11
谷沃科技,100-499人,计算机软件,11
厦门联电数据科技,20-99人,计算机软件,11
信息港,100-499人,运营商/增值服务,10
翎沐,0-20人,游戏,10
某大型游戏公司,100-499人,游戏,10
壹拾科技有限公司,20-99人,计算机服务,10
碧驰信息,20-99人,互联网,10
厦门数据智能研究院,20-99人,计算机软件,10
厦门唯科,500-999人,原材料及加工/模具,10
厦门科牧,1000-9999人,家具/家电/家居,10
赞歌科技,100-499人,移动互联网,10
悦玩网络,0-20人,游戏,10
厦门中盾安信,100-499人,互联网,10
林德叉车,1000-9999人,机械设备/机电/重工,10
唯一网络,100-499人,企业服务,10
艾德生物,500-999人,医疗设备/器械,10
贝颜科技有限公司,500-999人,医疗健康,10
宏泰智能,1000-9999人,通信/网络设备,10
涂鸦智能,1000-9999人,互联网,10
朗驰科技,100-499人,服装/纺织/皮革,10
一点资讯,500-999人,移动互联网,10
Manteia,20-99人,医疗健康,10
厦门顶尖电子有限公司,500-999人,电子/半导体/集成电路,10
福建恒安集团有限...,10000人以上,食品/饮料/烟酒,10
好慷在家,10000人以上,O2O,10
信网安检测/等保测评,20-99人,计算机服务,10
维库,0-20人,计算机软件,10
某知名机械设备公司,1000-9999人,机械设备/机电/重工,10
金岳慧创,20-99人,仪器仪表/工业自动化,10
网聚云联,20-99人,企业服务,10
瑞达期货股份有限公司,1000-9999人,互联网金融,10
厦门云译,20-99人,计算机软件,10
星纵智能,100-499人,计算机软件,10
彼格科技,100-499人,电子/半导体/集成电路,10
景迅网络,20-99人,游戏,10
福建易联众保睿通...,100-499人,医疗健康,10
壹体育,100-499人,计算机软件,10
中电文思海辉,10000人以上,计算机软件,9
白山云,100-499人,互联网,9
深夜互动,20-99人,互联网,9
福州中联网佳,100-499人,计算机软件,9
熵链科技,20-99人,互联网,9
云感科技,20-99人,通信/网络设备,9
幽境,20-99人,游戏,9
美科集团,500-999人,机械设备/机电/重工,9
厦门昂讯,100-499人,移动互联网,9
云评众联,20-99人,计算机服务,9
威尔软件,100-499人,计算机软件,9
倍杰特,1000-9999人,家具/家电/家居,9
乔丹体育股份有限公司,1000-9999人,生活服务,9
执携,20-99人,计算机软件,9
悦游网络,100-499人,社交网络,9
厦门天马微电子有...,10000人以上,电子商务,9
厦门巴掌互动,100-499人,游戏,9
喵柚,20-99人,互联网,9
厦门梦加游戏,100-499人,游戏,9
安明丽,500-999人,电子/半导体/集成电路,9
厦门编奕科技有限公司,0-20人,计算机软件,9
著赫电子,100-499人,电子/半导体/集成电路,9
普为光电,500-999人,电子/半导体/集成电路,9
福建加一伟业,20-99人,仪器仪表/工业自动化,9
新百伦领跑,1000-9999人,生活服务,9
趣方科技,20-99人,移动互联网,9
优梨口腔,100-499人,医疗/护理/卫生,9
奥佳华,10000人以上,医疗健康,9
厦门赛尔特电子有...,1000-9999人,电子/半导体/集成电路,9
超光,20-99人,电子/半导体/集成电路,9
嘉戎技术,500-999人,机械设备/机电/重工,9
中交信息,10000人以上,计算机软件,9
美契科技,20-99人,计算机软件,9
厦门精益远达,20-99人,计算机软件,9
护航科技,1000-9999人,计算机服务,9
海西医药交易中心,100-499人,互联网,9
优智汇,20-99人,互联网,9
厦门福流,20-99人,医疗设备/器械,9
温暖科技,20-99人,计算机软件,9
龙腾简合,500-999人,游戏,9
鸿星尔克,10000人以上,电子商务,9
美团,10000人以上,互联网,9
三五互联,500-999人,互联网,9
中谷象雄,1000-9999人,文化/体育/娱乐,8
知本家,100-499人,互联网,8
厦门是能环保,20-99人,环保,8
智恒微电子,20-99人,电子/半导体/集成电路,8
厦门外星人科技,20-99人,游戏,8
朴朴科技,100-499人,互联网,8
厦门起势泛娱科技,20-99人,游戏,8
南京尚同,20-99人,咨询,8
佛吉亚歌乐电子公司,500-999人,汽车零部件,8
华数信息,20-99人,计算机软件,8
盛初网络,100-499人,互联网,8
华信纵横,20-99人,计算机软件,8
